species,min_elev,max_elev
Tangara_seledon,0,900
Tangara_velia,0,1075
Tangara_callophrys,0,1000
Tangara_chilensis,0,1500
Tangara_mexicana,0,1000
Tangara_inornata,0,1200
Tangara_lavinia,0,800
Tangara_gyrola,0,1800
Tangara_florida,100,1100
Tangara_icterocephala,400,2100
Tangara_arthus,600,2500
Tangara_schrankii,0,1600
Tangara_johannae,0,700
Tangara_parzudakii,1000,2500
Tangara_xanthocephala,1000,2600
Tangara_chrysotis,850,2400
Tangara_fucosa,1400,2000
Tangara_dowii,800,3000
Tangara_nigroviridis,900,3000
Tangara_vassorii,1300,3500
Tangara_rufigenis,900,2050
Tangara_labradorides,1100,2400
Tangara_cyanotis,900,2600
Tangara_heinei,700,2800
Tangara_phillipsi,1300,1570
Tangara_argyrofenges,1100,2200
Tangara_viridicollis,800,3050
Tangara_cyanoptera,450,2200
Tangara_nigrocincta,0,1400
Tangara_cyanicollis,0,2400
Tangara_larvata,0,1800
Tangara_cayana,0,2500
Tangara_vitriolina,500,3000
Tangara_meyerdeschauenseei,1450,2200
Tangara_preciosa,0,1000
Tangara_palmeri,0,1100
Thraupis_ornata,0,1750
Thraupis_palmarum,0,2600
Thraupis_abbas,0,1800
Thraupis_cyanoptera,0,1600
Thraupis_episcopus,0,2700
Thraupis_sayaca,0,3200
Tangara_ruficervix,900,2500
Tangara_guttata,300,2000
Tangara_xanthogastra,100,1800
Tangara_rufigula,400,2100
Tangara_punctata,0,2000
Tangara_varia,0,300
Bangsia_edwardsi,500,2000
Bangsia_aureocincta,1600,2200
Bangsia_rothschildi,150,1100
Bangsia_melanochlamys,1400,1750
Bangsia_arcaei,300,1200
Wetmorethraupis_sterrhopteron,450,1000
Paroaria_capitata,0,500
Paroaria_gularis,0,400
Paroaria_baeri,0,400
Paroaria_dominicana,0,1200
Paroaria_coronata,0,500
Diuca_diuca,0,2500
Gubernatrix_cristata,0,700
Neothraupis_fasciata,500,1100
Lophospingus_griseocristatus,1000,3100
Lophospingus_pusillus,0,2000
Schistochlamys_ruficapillus,0,2050
Schistochlamys_melanopis,0,1800
Cissopis_leverianus,0,2000
Stephanophorus_diadematus,0,2400
Chlorochrysa_calliparaea,900,2200
Chlorochrysa_nitidissima,900,2200
Chlorochrysa_phoenicotis,600,2200
Buthraupis_eximia,2750,3800
Buthraupis_aureodorsalis,3000,3700
Chlorornis_riefferii,1500,3500
Buthraupis_wetmorei,2950,3650
Buthraupis_montana,1800,3700
Anisognathus_lacrymosus,1800,3300
Anisognathus_igniventris,0,4650
Anisognathus_melanogenys,1200,3200
Anisognathus_notabilis,900,2400
Anisognathus_somptuosus,900,2900
Thraupis_cyanocephala,800,3300
Dubusia_taeniata,1900,3600
Delothraupis_castaneoventris,1650,3500
Saltator_rufiventris,2500,4000
Pipraeidea_melanonota,0,3250
Thraupis_bonariensis,0,4200
Iridosornis_reinhardti,2000,3700
Iridosornis_rufivertex,2100,3400
Iridosornis_jelskii,2000,3700
Iridosornis_analis,1400,2300
Iridosornis_porphyrocephalus,0,1200
Calochaetes_coccineus,320,1800
Parkerthraustes_humeralis,200,1000
Orchesticus_abeillei,750,1600
Phrygilus_carbonarius,0,700
Phrygilus_alaudinus,0,4100
Porphyrospiza_caerulescens,600,1100
Phrygilus_fruticeti,0,4000
Incaspiza_ortizi,1800,2600
Incaspiza_personata,2300,4000
Incaspiza_pulchra,1500,2700
Catamblyrhynchus_diadema,1800,3500
Sericossypha_albocristata,1600,3200
Compsothraupis_loricata,0,1000
Nemosia_pileata,0,1300
Cyanicterus_cyanicterus,0,600
Corapipo leucorrhoa,0,1500
Corapipo altera,0,1500
Corapipo gutturalis,0,1100
Masius chrysopterus,1100,2300
Ilicura militaris,500,1250
Chiroxiphia boliviana,900,1650
Chiroxiphia pareola,0,750
Chiroxiphia lanceolata,0,1400
Chiroxiphia linearis,0,1500
Chiroxiphia caudata,0,1900
Antilophia galeata,0,1000
Antilophia bokermanni,0,800
Xenopipo uniformis,800,2100
Xenopipo atronitens,0,1200
Chloropipo unicolor,950,2500
Chloropipo flavicapilla,1200,2400
Lepidothrix coronata,0,1400
Lepidothrix vilasboasi,0,200
Lepidothrix iris,0,200
Lepidothrix nattereri,0,500
Lepidothrix coeruleocapilla,500,2100
Lepidothrix isidorei,500,1700
Lepidothrix serena,0,500
Lepidothrix suavissima,250,1800
Cryptopipo holochlora,600,1300
Pipra filicauda,0,800
Pipra aureola,0,800
Pipra fasciicauda,0,800
Machaeropterus deliciosus,400,1900
Machaeropterus regulus,0,1500
Machaeropterus pyrocephalus,0,1050
Ceratopipra cornuta,800,1800
Ceratopipra mentalis,0,750
Ceratopipra rubrocapilla,0,700
Ceratopipra chloromeros,0,1400
Ceratopipra erythrocephala,0,1100
Dixiphia pipra,0,1600
Heterocercus aurantiivertex,0,500
Heterocercus flavivertex,0,500
Heterocercus linteatus,0,500
Manacus vitellinus,0,1200
Manacus manacus,0,1000
Manacus candei,0,950
Manacus aurantiacus,0,1100
Neopelma chrysocephalum,0,700
Tyranneutes virescens,0,500
Tyranneutes stolzmanni,0,800
Neopelma sulphureiventer,0,900
Neopelma chrysolophum,1150,1750
Neopelma pallescens,0,900
