"","Species","taxon","male_mass","female_mass","male_wing","female_wing","male_tarsus","female_tarsus","male_bill","female_bill","female","male","family","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Kipps.Distance","Hand-Wing.Index","Tail.Length","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","min_elev","max_elev","species","mean_hct_female","mean_hct_male","sd_hct_female","sd_hct_male","mean_hb_female","mean_hb_male","sd_hb_female","sd_hb_male","SSDI_hct","SSDI_hb","max_sample_elev","mean_sample_elev","min_sample_elev","SSDI_mass","SSDI_bill","SSDI_wing","SSDI_tarsus"
"8069",NA,"Caprimulgus ruficollis",86,83.5,206,204,21.9,21,11.3,10.8,NA,NA,"Caprimulgidae",23.7,7.4,5,3,20.4,107,54,147.8,"Forest",2,3,"Carnivore","Invertivore",29.43,42.51,36.13,-1.63,791038.8,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029940119760479,0.0462962962962963,0.00980392156862745,0.0428571428571428
"8070",NA,"Caprimulgus vociferus",50.3,56.5,156.7,159,22,22,6.5,7.1,NA,NA,"Caprimulgidae",19.9,7.3,4.2,2.9,16,75.2,47.5,112.8,"Forest",1,3,"Carnivore","Invertivore",13.77,54.53,39,-89.64,4417326.01,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.109734513274336,-0.0845070422535211,-0.0144654088050315,0
"8071",NA,"Cardinalis cardinalis",41.7,41,95.2,92.5,28.3,27.9,12.7,12.6,NA,NA,"Cardinalidae",17.6,14.7,9.3,12.3,24.5,14.2,15.5,101.8,"Shrubland",2,1,"Herbivore","Omnivore",15.65,47.34,34.85,-92.41,5834572.06,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170731707317074,0.00793650793650791,0.0291891891891892,0.0143369175627241
"8072",NA,"Cardinalis sinuatus",37,37,93,88.4,24.6,24.4,16,15.2,NA,NA,"Cardinalidae",15.3,10.3,7.3,12.6,24.4,13.9,14.9,103.2,"Shrubland",2,1,"Herbivore","Omnivore",20.3,34.88,28.26,-104.28,1519386.56,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0526315789473685,0.0520361990950226,0.00819672131147553
"8073",NA,"Carduelis cannabina",19.4,18.5,80.8,78.7,16.1,15.8,13,13,NA,NA,"Fringillidae",12.4,7.8,5,6.6,15.7,26.9,34.4,56.2,"Shrubland",2,1,"Herbivore","Granivore",27.64,65.97,49.19,33.6,10715477.38,0,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0486486486486486,0,0.0266836086404065,0.0189873417721519
"8074",NA,"Carduelis carduelis",16,14.9,81,78.4,14.8,14.7,16.3,15.3,NA,NA,"Fringillidae",15.4,11.2,5.5,7.2,14.7,25.8,33.4,48.6,"Woodland",2,1,"Herbivore","Granivore",23.49,63.96,48.06,49.7,15348675.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0738255033557047,0.065359477124183,0.0331632653061224,0.00680272108843547
"8075",NA,"Carduelis chloris",27.2,28.1,87.5,84.4,17.6,17.8,16.9,16.6,NA,NA,"Fringillidae",14.4,11,7.6,8.8,17.3,27.8,32.5,55.7,"Woodland",2,1,"Herbivore","Granivore",27.64,70.26,50.67,25.85,10220595.83,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0320284697508898,0.0180722891566263,0.0367298578199051,-0.0112359550561797
"8076",NA,"Carduelis flammea",13,13.1,75.2,73.4,14.9,14.7,12.4,12.2,NA,NA,"Fringillidae",11.2,7.9,4.3,6.1,15,25.1,33.6,56.5,"Forest",1,2,"Herbivore","Granivore",44.1,74.57,63.41,32.76,18699058.4,0,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00763358778625951,0.0163934426229509,0.0245231607629427,0.0136054421768708
"8077",NA,"Carduelis hornemanni",13.6,12.7,77.1,73,15,14.4,11.6,11.4,NA,NA,"Fringillidae",11.9,7.7,4.8,7.2,17.3,24.9,31.8,64.6,"Forest",3,2,"Herbivore","Granivore",57.35,83.11,70.11,-103.96,2478619.32,0,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0708661417322835,0.0175438596491227,0.0561643835616438,0.0416666666666666
"8078",NA,"Carduelis lawrencei",10.1,10.2,67.2,65,13.6,13.2,8.3,8,NA,NA,"Fringillidae",10.2,6.4,4.2,5.6,13.1,18.9,29,47.5,"Forest",2,3,"Herbivore","Granivore",30.09,40.82,35.08,-118.89,139353.83,0,2900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00980392156862742,0.0375000000000001,0.0338461538461539,0.0303030303030303
"8079",NA,"Carduelis psaltria",8.9,8.8,63.1,61.4,12.3,12.5,9.2,9.1,NA,NA,"Fringillidae",10.2,7.8,4.7,6.3,12.4,16.2,26,40.4,"Shrubland",2,1,"Herbivore","Granivore",-8.61,46.31,30.17,-106.31,3951950.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113636363636363,0.010989010989011,0.0276872964169382,-0.0159999999999999
"8080",NA,"Carduelis spinus",14.2,13.4,73.7,71.9,13.7,13.8,13,12.9,NA,NA,"Fringillidae",12.8,8.3,4.5,6.1,12.7,26.1,36.5,46.4,"Forest",1,1,"Herbivore","Granivore",35.37,70.16,55.86,65.08,8968022.11,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0597014925373133,0.0077519379844961,0.0250347705146036,-0.0072463768115943
"8081",NA,"Carpodacus cassinii",26.9,28.2,92.8,89.4,19.6,19,12.8,12.8,NA,NA,"Fringillidae",14,10.3,7.4,8.9,17.5,25.6,28.8,61.5,"Forest",2,1,"Herbivore","Granivore",30.32,53.51,43.11,-114.16,1502229.58,1000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0460992907801419,0,0.0380313199105144,0.0315789473684211
"8082",NA,"Carpodacus erythrinus",23.1,23.7,84.8,82.7,19,19.1,14.2,14.3,NA,NA,"Fringillidae",12,8,6.8,7.9,16.4,24.7,30.8,58.6,"Shrubland",2,3,"Herbivore","Granivore",25.19,71.02,54.13,89.33,23264611.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0253164556962024,-0.00699300699300709,0.0253929866989117,-0.00523560209424091
"8083",NA,"Carpodacus mexicanus",21.4,22.1,80.2,77.8,17.2,17.2,8.7,8.7,NA,NA,"Fringillidae",10.6,8.4,6.6,8.2,17.4,21.2,27.5,66.2,"Shrubland",2,2,"Herbivore","Granivore",16.79,55.29,38.88,-100.57,10299459.91,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0316742081447965,0,0.0308483290488433,0
"8084",NA,"Carpodacus purpureus",25.9,24.6,80.52,81.27,17.17,17.04,10.64,10.57,NA,NA,"Fringillidae",12.2,9.1,7.5,9,16.6,22.8,28.1,59.5,"Forest",2,2,"Herbivore","Omnivore",32.56,62.24,50.66,-99.96,4534365.72,0,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0528455284552844,0.00662251655629142,-0.00922849760059062,0.00762910798122081
"8085",NA,"Carpodacus roseus",26.6,27.5,92.2,88,20.5,20.6,15.2,14.9,NA,NA,"Fringillidae",12.5,8.9,7,8.4,18.9,25.4,29.4,67.1,"Forest",2,3,"Herbivore","Granivore",45.15,67.52,58.85,118.64,5619015.79,0,3030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0327272727272727,0.0201342281879194,0.0477272727272728,-0.0048543689320389
"8086",NA,"Carpodacus rubicilla",45.9,45.9,115.9,111.9,23.5,23.2,19.4,19.2,NA,NA,"Fringillidae",15.2,11.7,8.1,11.2,20.6,35.6,31,85.6,"Rock",3,1,"Herbivore","Omnivore",25.67,50.18,34.78,87.24,3210935.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0104166666666666,0.0357462019660411,0.0129310344827587
"8087",NA,"Carpodacus synoicus",20.7,21.5,97.8,93,19.9,19.7,13.7,13.6,NA,NA,"Fringillidae",11.7,8.1,6.3,7.9,18.5,21.9,26.4,66,"Desert",3,1,"Herbivore","Omnivore",27.08,45.15,38.08,84.07,1659280.57,1000,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0372093023255814,0.00735294117647056,0.0516129032258064,0.0101522842639594
"8088",NA,"Casmerodius albus",1030,960,438,429,190,166,123,121,NA,NA,"Ardeidae",126.3,90.4,12,18.1,141.6,120.7,32.1,140.5,"Wetland",3,2,"Carnivore","Aquatic predator",-52.61,57.34,10.02,28.87,74898555.49,0,4080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0729166666666667,0.0165289256198347,0.020979020979021,0.144578313253012
"8089",NA,"Catharacta maccormicki",1277,1421,410,415,62.4,64.8,49.4,50.9,NA,NA,"Stercorariidae",52.7,19.6,9.8,17.6,56.2,192.8,50,135,"Marine",3,3,"Carnivore","Aquatic predator",-82.34,-60.52,-69.84,56.49,109012.82,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.101337086558761,-0.0294695481335953,-0.0120481927710843,-0.037037037037037
"8090",NA,"Catharacta skua",1735,1935,411.9,420.6,74.4,77.1,54.7,55.3,NA,NA,"Stercorariidae",54.4,20.1,10.1,17.3,61.7,210,53.3,146.4,"Marine",3,3,"Carnivore","Aquatic predator",57.56,79.56,65.93,0.75,16138.54,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.103359173126615,-0.0108499095840867,-0.0206847360912983,-0.0350194552529181
"8091",NA,"Catharus minimus",29.7,28.9,101.9,97.6,30.3,29.5,13.2,13.1,NA,NA,"Turdidae",16.4,9.2,4.5,4,30,30.7,30.8,69.2,"Forest",2,3,"Carnivore","Invertivore",46.61,71.39,62.09,-78.35,5090368.26,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027681660899654,0.00763358778625951,0.0440573770491804,0.0271186440677966
"8092",NA,"Catherpes mexicanus",11.4,11.1,59.59,58.06,18.09,17.88,3.63,3.59,NA,NA,"Troglodytidae",23.9,15.7,3.2,3.4,18.6,8.3,13.2,56,"Rock",3,1,"Carnivore","Invertivore",15.83,51.83,35.18,-109.73,4298192.46,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0270270270270271,0.0111420612813371,0.0263520496038581,0.0117449664429531
"8093",NA,"Catoptrophorus semipalmatus",273,301.4,205.2,213.5,64.9,68.3,59.4,64.1,NA,NA,"Scolopacidae",67.4,46,4.5,7.2,65.4,97,47.6,73.8,"Coastal",3,3,"Carnivore","Aquatic predator",17.47,55.38,42.76,-101.57,2508839.89,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0942269409422693,-0.0733229329173166,-0.0388758782201406,-0.0497803806734991
"8094",NA,"Centropus cupreicaudus",272,299,211,223,49,50,36,38,NA,NA,"Cuculidae",43.3,26.1,9.6,15.7,54.6,28.5,13.1,244.5,"Wetland",1,1,"Carnivore","Omnivore",-20.66,-1.41,-12.24,24.62,1750330.64,68,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0903010033444816,-0.0526315789473684,-0.0538116591928251,-0.02
"8095",NA,"Centropus phasianinus",302.1,444.9,225.6,249.3,50.5,53.2,35.5,38.6,NA,NA,"Cuculidae",38.4,21.8,11.1,16.9,54.4,29.2,11.8,346.2,"Shrubland",2,1,"Carnivore","Invertivore",-36.26,-1.47,-17.66,138.76,2665520.2,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.320971004720162,-0.0803108808290156,-0.095066185318893,-0.0507518796992482
"8096",NA,"Centropus senegalensis",169,171,169,176,37.6,38.6,27.5,28.9,NA,NA,"Cuculidae",30,16.4,6.9,11.8,39.6,21.8,13,204.2,"Shrubland",2,1,"Carnivore","Vertivore",-22.3,31.6,3.67,16.54,9875812.37,0,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0116959064327485,-0.0484429065743944,-0.0397727272727273,-0.0259067357512953
"8097",NA,"Centropus superciliosus",160,180,163,167,37.1,37.1,28.1,29.6,NA,NA,"Cuculidae",31.5,16.8,7.1,11.6,38.9,23.7,14.9,209.1,"Wetland",1,1,"Carnivore","Invertivore",-34.84,19.04,-7.54,31.11,7292900.16,0,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.111111111111111,-0.0506756756756757,-0.0239520958083832,0
"8098",NA,"Cepphus grylle",376,386,164,165,31.4,31.7,33.3,33.2,NA,NA,"Alcidae",38.1,22.4,5.9,9.5,29.8,66.5,43.1,51,"Marine",3,3,"Carnivore","Aquatic predator",43.21,82.01,68.63,-1.36,2115522.94,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0259067357512953,0.00301204819277091,-0.00606060606060606,-0.00946372239747636
"8099",NA,"Ceratogymna atrata",1264,1059,395,354,53,47,186,145,NA,NA,"Bucerotidae",155.8,123,40.5,43,57.8,65.2,17.5,256.3,"Forest",1,1,"Herbivore","Frugivore",-9.38,8.7,0.31,16.37,2282542.36,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193578847969783,0.282758620689655,0.115819209039548,0.127659574468085
"8100",NA,"Ceratogymna brevis",1308,1162,369,340,55,50,171,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125645438898451,0.147651006711409,0.0852941176470588,0.1
"8101",NA,"Ceratogymna bucinator",739,567,288,263,44,40,136,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303350970017637,0.214285714285714,0.0950570342205323,0.1
"8102",NA,"Ceratogymna elata",2100,1750,402,362,56,50,212,165,NA,NA,"Bucerotidae",176.8,135.8,43.1,45.5,53.5,71.8,19.5,304.8,"Forest",1,1,"Herbivore","Frugivore",3.36,12.86,6.81,-4.06,495247.1,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.284848484848485,0.110497237569061,0.12
"8103",NA,"Cercomela melanura",14.5,15,83.1,78.3,24.2,23.1,17,16.9,NA,NA,"Muscicapidae",17.6,9.8,3.5,3.5,23,16.7,20.2,63.4,"Rock",2,1,"Carnivore","Invertivore",7.81,32.98,19.31,32.42,2174337.34,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0333333333333333,0.00591715976331369,0.0613026819923371,0.0476190476190475
"8104",NA,"Cercotrichas leucophrys",17,16,67.5,64.2,23.3,22.6,16.5,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.0185185185185186,0.0514018691588785,0.0309734513274336
"8105",NA,"Cercotrichas leucosticta",26.6,24.3,78.7,72.9,26.4,25.3,18.6,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0946502057613169,0.0276243093922652,0.0795610425240054,0.0434782608695651
"8106",NA,"Cercotrichas podobe",25.7,25,93.1,88.7,29.3,28.1,20,18.9,NA,NA,"Muscicapidae",18.2,10.6,3.8,4.3,27.8,15.1,17.3,106.2,"Shrubland",2,1,"Carnivore","Invertivore",10.37,30.24,15.7,14.43,3790267.02,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,0.0582010582010583,0.0496054114994362,0.0427046263345195
"8107",NA,"Cercotrichas quadrivirgata",26.6,25.6,81.7,77.9,26.1,25.5,18.5,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0390625,0.00543478260869573,0.048780487804878,0.0235294117647059
"8108",NA,"Cerorhinca monocerata",510,456,182.9,177.7,30,32.5,18.3,18.5,NA,NA,"Alcidae",48.5,25.5,8.5,17.6,29.4,92.9,52,51.2,"Marine",3,3,"Carnivore","Aquatic predator",33.18,60.51,50.73,-51.05,316387.33,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118421052631579,-0.0108108108108108,0.0292628024760834,-0.0769230769230769
"8109",NA,"Certhia americana",7.9,7.9,65.5,62.9,15.1,15,13.9,12.9,NA,NA,"Certhiidae",16.2,9.6,2,2.8,14.2,15.3,24.1,63.3,"Forest",1,1,"Carnivore","Invertivore",12.86,63.31,45.97,-101.91,6543644.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0775193798449612,0.041335453100159,0.00666666666666664
"8110",NA,"Certhia brachydactyla",8.8,8,64,61.9,16,16.4,18.8,17.1,NA,NA,"Certhiidae",18.7,11.1,2,2.5,14.9,11,17.7,57.1,"Forest",1,1,"Carnivore","Invertivore",30.59,56.4,44.73,10.55,3199552.33,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.0994152046783625,0.0339256865912763,-0.0243902439024389
"8111",NA,"Certhia familiaris",9.2,9.1,65.4,63,15.2,15.1,17.5,16.2,NA,NA,"Certhiidae",18.1,12.2,2,2.6,14.6,12.4,19.2,60.3,"Forest",1,1,"Omnivore","Invertivore",31.81,70.4,51.19,74.31,15914424.48,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010989010989011,0.080246913580247,0.0380952380952382,0.00662251655629137
"8112",NA,"Certhilauda burra",40.5,34.5,105,94.4,27.2,25.5,17.6,16.3,NA,NA,"Alaudidae",15.4,9.8,4.3,5.7,26.8,18.1,19,73.6,"Grassland",3,1,"Omnivore","Omnivore",-31.26,-28.95,-30.08,20.02,72170.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173913043478261,0.0797546012269939,0.11228813559322,0.0666666666666666
"8113",NA,"Certhilauda erythrochlamys",29.4,26.8,91.5,86,27.8,25.3,19.5,17.9,NA,NA,"Alaudidae",18.2,10.9,4.5,5.4,27.2,16.8,19.7,68.8,"Desert",3,1,"Omnivore","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0970149253731342,0.0893854748603353,0.063953488372093,0.0988142292490119
"8114",NA,"Certhionyx niger",10,9.8,67.8,63.9,15.7,15.1,18.2,17.6,NA,NA,"Meliphagidae",18,10.6,2.4,2.5,13.6,17.7,26.9,41.2,"Shrubland",2,3,"Omnivore","Nectarivore",-37.55,-14.87,-26.21,133.35,5440427.41,0,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020408163265306,0.034090909090909,0.0610328638497652,0.0397350993377483
"8115",NA,"Certhionyx pectoralis",10.3,9.8,66.6,62.5,15.4,15.2,16.6,15.8,NA,NA,"Meliphagidae",16.1,8,2.3,2.8,16.4,13.8,21,42.1,"Grassland",2,1,"Herbivore","Nectarivore",-20.93,-10.69,-16,134.91,1086177.68,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0510204081632653,0.0506329113924051,0.0655999999999999,0.0131578947368422
"8116",NA,"Certhionyx variegatus",27.5,25.1,86.5,83.1,21.1,20.8,21.2,20.9,NA,NA,"Meliphagidae",20.1,11,3.3,3.4,20.9,22.5,27.4,63.1,"Shrubland",2,2,"Herbivore","Nectarivore",-38.49,-17.43,-26.46,131.9,5122091.98,0,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095617529880478,0.014354066985646,0.0409145607701565,0.014423076923077
"8117",NA,"Cettia cetti",15.9,13,61.9,54,22.1,19.4,14.4,13.7,NA,NA,"Sylviidae",14.3,7.6,2.4,3,20.3,8.7,14.3,58.2,"Shrubland",2,1,"Carnivore","Invertivore",27.19,54.72,41.65,39.12,5290133.33,0,2450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223076923076923,0.051094890510949,0.146296296296296,0.139175257731959
"8118",NA,"Chalcophaps indica",136.6,136,153.3,147.5,27.2,26.8,16.4,16.3,NA,NA,"Columbidae",21,11.1,3,4.1,25.9,42.7,29.7,85.1,"Forest",1,1,"Herbivore","Omnivore",-37,29.54,8,109.05,5343787.27,0,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00441176470588231,0.00613496932515324,0.0393220338983052,0.0149253731343283
"8119",NA,"Chamaea fasciata",15.3,14.2,55.6,54.4,25.4,24.9,7.67,7.29,NA,NA,"Timaliidae",12.8,6.7,3,3.8,24.9,6.8,11.8,83.4,"Shrubland",2,1,"Omnivore","Invertivore",30.04,46.17,37.92,-120.9,246063.25,0,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0774647887323945,0.0521262002743484,0.0220588235294118,0.0200803212851406
"8120",NA,"Charadrius alexandrinus",48.2,47.1,111,112,27.7,27.2,15.4,15.2,NA,NA,"Charadriidae",17.4,10.5,3.1,3.4,25.4,57.1,53.9,43,"Coastal",3,2,"Carnivore","Aquatic predator",-43.43,56.69,38.86,58.17,15285087.49,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0233545647558387,0.0131578947368422,-0.00892857142857143,0.0183823529411765
"8121",NA,"Charadrius asiaticus",75.6,76.2,150,150,39.7,40,19.8,20.1,NA,NA,"Charadriidae",22.9,15.7,3.6,4.2,37.1,81.8,58,54,"Desert",3,3,"Carnivore","Omnivore",37.02,50.34,44.94,66.44,2844122.74,0,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00787401574803161,-0.0149253731343284,0,-0.00749999999999993
"8122",NA,"Charadrius bicinctus",58.8,58.4,130.2,127.2,31.3,30.1,17.2,17,NA,NA,"Charadriidae",19.2,13.2,3.4,3.8,30.6,68.8,54.1,55.8,"Riverine",3,2,"Carnivore","Aquatic predator",-52.61,-34.14,-41.81,171.52,270351.2,0,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00684931506849313,0.0117647058823529,0.0235849056603772,0.0398671096345515
"8123",NA,"Charadrius dubius",38.3,39.2,117,116,25,24.7,12.7,12.9,NA,NA,"Charadriidae",16.1,9.3,2.6,3.1,23.2,57.2,51,55.6,"Wetland",3,3,"Carnivore","Aquatic predator",-10.44,68.39,43.86,79.16,33641119.87,0,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0229591836734695,-0.0155038759689923,0.00862068965517241,0.0121457489878543
"8124",NA,"Charadrius hiaticula",63.5,64.7,132,135,25.6,25.9,14.1,14.5,NA,NA,"Charadriidae",16.1,8.3,3.3,3.7,25.3,69.1,53.5,60.2,"Coastal",3,2,"Carnivore","Aquatic predator",47.85,83.63,69.82,39,4520829.19,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01854714064915,-0.0275862068965517,-0.0222222222222222,-0.0115830115830115
"8125",NA,"Charadrius obscurus",160,110,159.3,159.1,38.5,37.2,29,27.5,NA,NA,"Charadriidae",29.1,18,5.1,6.3,38.2,78,47.4,66.9,"Coastal",3,2,"Carnivore","Aquatic predator",-47.14,-34.39,-36.64,174.29,10141.42,300,3754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454545454545455,0.0545454545454545,0.00125707102451299,0.0349462365591397
"8126",NA,"Charadrius ruficapillus",37.3,37.6,105.4,105,25.7,25.6,13.8,13.9,NA,NA,"Charadriidae",15.7,8.8,2.6,3,24.9,51.5,52.7,38.6,"Coastal",3,2,"Carnivore","Aquatic predator",-43.64,-8.33,-27.1,133.76,4811331.66,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00797872340425543,-0.00719424460431652,0.00380952380952386,0.00390624999999992
"8127",NA,"Charadrius vociferus",92.1,101,167,167,35.7,35.9,20.2,20.3,NA,NA,"Charadriidae",21.5,13.1,3.5,4.2,34.4,83.5,52.6,85.8,"Wetland",3,3,"Carnivore","Omnivore",-18.69,68.94,44.7,-102.9,14759088.1,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0881188118811882,-0.00492610837438431,0,-0.0055710306406684
"8128",NA,"Charadrius wilsonia",59,63,116.4,117.6,29,28.6,20.7,20.8,NA,NA,"Charadriidae",22.9,14.1,4.6,5.8,28,62.5,53.5,45.2,"Coastal",3,2,"Carnivore","Aquatic predator",-14.87,38.41,14.57,-77.05,867940.44,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0634920634920635,-0.00480769230769238,-0.010204081632653,0.0139860139860139
"8129",NA,"Chenonetta jubata",815,800,277,277,51.2,50.4,27.9,27.6,NA,NA,"Anatidae",36.5,15.3,13.6,9.7,47.8,121.2,47,93.7,"Wetland",3,1,"Herbivore","Herbivore terrestrial",-43.64,-12.84,-26.72,135.7,5996685.1,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01875,0.0108695652173912,0,0.015873015873016
"8130",NA,"Chersomanes albofasciata",26.7,22.7,88,80,27,25,23,18.5,NA,NA,"Alaudidae",20,12,3.6,4.1,26.6,12.8,15.7,44.4,"Grassland",3,1,"Carnivore","Invertivore",-33.79,-2.56,-24.26,20.67,2153588.68,1250,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176211453744493,0.243243243243243,0.1,0.08
"8131",NA,"Chionis alba",735,638,253,242,44,42.9,34.4,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152037617554859,0.075,0.0454545454545455,0.0256410256410257
